  edge_min  pair_min  balls  edges  path
    14.531    14.531     10     30  output/wythoff_sweep\rectified_5-cell\A4_0100_02_4fe32006bf.vZome
    13.232    13.232      7     15  output/wythoff_sweep\rectified_5-cell\A4_0100_03_55abe81889.vZome
     9.960     9.069    396   1800  output/wythoff_sweep\rectified_600-cell\H4_0010_00_e631eef593.vZome
     9.960     9.069    396   1800  output/wythoff_sweep\rectified_600-cell\H4_0010_01_e690959a51.vZome
    10.472    10.472     20     48  output/wythoff_sweep\rectified_tesseract\B4_0100_00_86c7a043be.vZome
     9.069     9.069     20     48  output/wythoff_sweep\rectified_tesseract\B4_0100_01_24e9b2fd40.vZome
    10.472    10.472     32     96  output/wythoff_sweep\rectified_tesseract\B4_0100_02_b54c2aaed8.vZome
     9.960     9.069   1260   3600  output/wythoff_sweep\runcinated_120-cell\H4_1001_00_0d13d8d35e.vZome
     9.960     9.069   1260   3600  output/wythoff_sweep\runcinated_120-cell\H4_1001_01_8c1ae2542c.vZome
     9.960     9.069   1260   3600  output/wythoff_sweep\runcinated_120-cell\H4_1001_02_4bd3daf2ff.vZome
     9.960     9.069   1260   3600  output/wythoff_sweep\runcinated_120-cell\H4_1001_03_b26f233ca5.vZome
    10.705    10.705     20     60  output/wythoff_sweep\runcinated_5-cell\A4_1001_00_aef3339065.vZome
    14.531    13.232     20     60  output/wythoff_sweep\runcinated_5-cell\A4_1001_01_4547c11713.vZome
    14.531    14.531     20     60  output/wythoff_sweep\runcinated_5-cell\A4_1001_02_1c278a1d7d.vZome
    13.232    13.232     13     30  output/wythoff_sweep\runcinated_5-cell\A4_1001_03_6f67e6cb83.vZome
    16.115     9.960   3660   8880  output/wythoff_sweep\runcitruncated_120-cell\H4_1101_00_a4e5c7b80c.vZome
    16.115     9.960   3660   8880  output/wythoff_sweep\runcitruncated_120-cell\H4_1101_01_13e387db31.vZome
    16.115     9.960   3660   8880  output/wythoff_sweep\runcitruncated_120-cell\H4_1101_02_77bc10c853.vZome
    16.115     9.960   3660   8880  output/wythoff_sweep\runcitruncated_120-cell\H4_1101_03_2ff0da38f3.vZome
    16.115     9.960   3660   8880  output/wythoff_sweep\runcitruncated_120-cell\H4_1101_04_a5838ce67b.vZome
    16.115     9.960   3660   8880  output/wythoff_sweep\runcitruncated_120-cell\H4_1101_05_f451c8c5fb.vZome
    10.705    10.705     60    150  output/wythoff_sweep\runcitruncated_5-cell\A4_1101_00_8fb8506b88.vZome
    14.531     9.443     60    150  output/wythoff_sweep\runcitruncated_5-cell\A4_1101_01_e203af4fe0.vZome
    23.511    13.232     60    150  output/wythoff_sweep\runcitruncated_5-cell\A4_1101_02_db7b74a33d.vZome
    23.511    13.232     60    150  output/wythoff_sweep\runcitruncated_5-cell\A4_1101_03_26f9c4de5c.vZome
    13.232    13.232     33     69  output/wythoff_sweep\runcitruncated_5-cell\A4_1101_04_a98cfbe1f2.vZome
    23.511    13.232     60    150  output/wythoff_sweep\runcitruncated_5-cell\A4_1101_05_70107e6dc6.vZome
     9.960     9.069   3660   8880  output/wythoff_sweep\runcitruncated_600-cell\H4_1011_00_cd4fbb2bef.vZome
     9.960     9.069   3660   8880  output/wythoff_sweep\runcitruncated_600-cell\H4_1011_01_9c22ea52b4.vZome
     9.960     9.069   3660   8880  output/wythoff_sweep\runcitruncated_600-cell\H4_1011_02_9815da3055.vZome
     9.960     9.069   3660   8880  output/wythoff_sweep\runcitruncated_600-cell\H4_1011_03_8b82a8d4fc.vZome
     9.960     9.069   3660   8880  output/wythoff_sweep\runcitruncated_600-cell\H4_1011_04_7c5d26836a.vZome
     9.960     9.069   3660   8880  output/wythoff_sweep\runcitruncated_600-cell\H4_1011_05_0137580b4e.vZome
     9.960     9.069   3660   8880  output/wythoff_sweep\runcitruncated_600-cell\H4_1011_06_93f8773f2a.vZome
     9.960     9.069   3660   8880  output/wythoff_sweep\runcitruncated_600-cell\H4_1011_07_fb0b1ebf05.vZome
     9.960     9.069   3660   8880  output/wythoff_sweep\runcitruncated_600-cell\H4_1011_08_3b44cc41a2.vZome
     9.960     9.069   3660   8880  output/wythoff_sweep\runcitruncated_600-cell\H4_1011_09_e97405e509.vZome
     9.960     9.069   3660   8880  output/wythoff_sweep\runcitruncated_600-cell\H4_1011_10_920f7d9874.vZome
     9.960     9.960   1260   2420  output/wythoff_sweep\truncated_120-cell\H4_1100_00_37c52dd918.vZome
     9.960     9.960   1260   2420  output/wythoff_sweep\truncated_120-cell\H4_1100_01_35859e5613.vZome
     9.960     9.960   1260   2420  output/wythoff_sweep\truncated_120-cell\H4_1100_02_3b18c3dede.vZome
    10.472    10.472     36     78  output/wythoff_sweep\truncated_16-cell\B4_0011_00_bb5b56af58.vZome
     9.069     9.069     28     57  output/wythoff_sweep\truncated_16-cell\B4_0011_01_30ce845d3f.vZome
    10.472    10.472     48    120  output/wythoff_sweep\truncated_16-cell\B4_0011_02_bebffceea5.vZome
    26.075     9.069    192    384  output/wythoff_sweep\truncated_24-cell\F4_1100_02_c7db1d36fb.vZome
    26.075     9.069    192    384  output/wythoff_sweep\truncated_24-cell\F4_1100_03_6b7eadcbcf.vZome
    26.075     9.069    192    384  output/wythoff_sweep\truncated_24-cell\F4_1100_04_d98b5f4add.vZome
    26.075     9.069    192    384  output/wythoff_sweep\truncated_24-cell\F4_1100_05_b7477fe6c0.vZome
    10.705    10.705     20     40  output/wythoff_sweep\truncated_5-cell\A4_1100_00_82123904b0.vZome
    14.531    14.531     20     40  output/wythoff_sweep\truncated_5-cell\A4_1100_01_7df137dba4.vZome
    14.531    14.531     20     40  output/wythoff_sweep\truncated_5-cell\A4_1100_02_9fee63fe24.vZome
    13.232    13.232     13     21  output/wythoff_sweep\truncated_5-cell\A4_1100_03_cd65b76a7d.vZome
     9.960     9.960    780   2184  output/wythoff_sweep\truncated_600-cell\H4_0011_00_c2f8b43f1b.vZome
     9.960     9.960    780   2184  output/wythoff_sweep\truncated_600-cell\H4_0011_01_e7e32b6625.vZome
